00:00:02.716 main.c:1047:on_pixel_display_added                            : on_pixel_display_added
00:00:02.717 main.c:1050:on_pixel_display_added                            : pixel display added before splash loaded, so loading splash now
00:00:02.717 main.c:952:show_splash                                        : show_splash
00:00:02.717 main.c:872:plymouth_should_show_default_splash                : plymouth_should_show_default_splash
00:00:02.717 main.c:873:plymouth_should_show_default_splash                : checking if plymouth should show default splash
00:00:02.717 main.c:896:plymouth_should_show_default_splash                : using default splash because kernel command line has option "rhgb"
00:00:02.717 main.c:442:show_default_splash                                : show_default_splash
00:00:02.717 main.c:446:show_default_splash                                : Showing splash screen
00:00:02.717 main.c:454:show_default_splash                                : Trying system default splash
00:00:02.717 main.c:1766:show_theme                                        : show_theme
00:00:02.717 main.c:1734:load_theme                                        : load_theme
00:00:02.717 main.c:1738:load_theme                                        : Loading boot splash theme '/usr/share/plymouth/themes//external-command/external-command.plymouth'
00:00:02.717 ply-key-file.c:175:ply_key_file_load_group                    : trying to load group Plymouth Theme
00:00:02.735 ply-key-file.c:175:ply_key_file_load_group                    : trying to load group external-command
00:00:02.736 ply-key-file.c:262:ply_key_file_load_groups                   : key file has no more groups
00:00:02.736 ply-key-file.c:371:ply_key_file_get_value                     : /usr/share/plymouth/themes//external-command/external-command.plymouth
00:00:02.736 plugin.c:423:ply_boot_splash_plugin_get_interface             : ply_boot_splash_plugin_get_interface
00:00:02.741 plugin.c:264:create_plugin                                    : create_plugin
00:00:02.742 ply-key-file.c:371:ply_key_file_get_value                     : /usr/share/plymouth/themes//external-command/external-command.plymouth
00:00:02.744 plugin.c:280:create_plugin                                    : /usr/bin/twincam
00:00:02.745 plugin.c:281:create_plugin                                    : 4
00:00:02.747 main.c:1754:load_theme                                        : attaching plugin to event loop
00:00:02.747 ply-event-loop.c:878:ply_event_loop_watch_for_exit            : ply_event_loop_watch_for_exit
00:00:02.750 main.c:1757:load_theme                                        : attaching progress to plugin
00:00:02.750 main.c:1634:attach_splash_to_devices                          : attach_splash_to_devices
00:00:02.750 ply-boot-splash.c:138:ply_boot_splash_add_pixel_display       : adding 1920x1080 pixel display
00:00:02.755 plugin.c:318:add_pixel_display                                : add_pixel_display
00:00:02.755 ply-device-manager.c:1139:ply_device_manager_activate_renderer: activating renderers
